data_venda,vendedor,setor,categoria,neoenergia,adimplencia_m2,status,id_venda
2026-08-08,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00042
2026-08-12,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00043
2026-08-15,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00044
2026-08-19,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00045
2026-08-24,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00046
2026-08-27,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00047
2026-08-31,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00048
2026-08-04,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00049
2026-08-07,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00050
2026-08-11,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00051
2026-08-14,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00052
2026-08-18,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00053
2026-08-21,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00054
2026-08-26,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00055
2026-08-29,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00056
2026-08-03,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00057
2026-08-06,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00058
2026-08-10,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00059
2026-08-13,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00060
2026-08-17,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00061
2026-08-20,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00062
2026-08-24,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00063
2026-08-28,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00064
2026-08-01,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00065
2026-08-05,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00066
2026-08-08,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00067
2026-08-12,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00068
2026-08-15,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00069
2026-08-19,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00070
2026-08-22,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00071
2026-08-26,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00072
2026-08-31,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00073
2026-08-04,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00074
2026-08-07,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00075
2026-08-11,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00076
2026-08-14,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00077
2026-08-18,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00078
2026-08-21,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00079
2026-08-25,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00080
2026-08-28,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00081
2026-08-03,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00082
2026-08-06,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00083
2026-08-10,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00084
2026-08-13,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00085
2026-08-17,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00086
2026-08-20,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00087
2026-08-24,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00088
2026-08-27,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00089
2026-08-31,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00090
2026-08-04,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00091
2026-08-07,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00092
2026-08-11,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00093
2026-08-15,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00094
2026-08-19,Bruno Lima,TELE,Vendedor,Sim,100%,Aprovada,VEN-00095
2026-08-22,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00096
2026-08-26,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00097
2026-08-29,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00098
2026-08-03,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00099
2026-08-06,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00100
2026-08-10,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00101
2026-08-13,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00102
2026-08-18,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00103
2026-08-21,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00104
2026-08-25,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00105
2026-08-28,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00106
2026-08-01,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00107
2026-08-05,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00108
2026-08-08,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00109
2026-08-12,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00110
2026-08-15,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00111
2026-08-20,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00112
2026-08-24,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00113
2026-08-27,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00114
2026-08-31,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00115
2026-08-04,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00116
2026-08-07,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00117
2026-08-11,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00118
2026-08-14,Bruno Lima,TELE,Vendedor,Não,100%,Aprovada,VEN-00119
2026-08-14,Carla Souza,PAP,Vendedor,Sim,90%,Aprovada,VEN-00120
2026-08-18,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00121
2026-08-21,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00122
2026-08-25,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00123
2026-08-28,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00124
2026-08-01,Carla Souza,PAP,Vendedor,Sim,90%,Aprovada,VEN-00125
2026-08-05,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00126
2026-08-08,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00127
2026-08-12,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00128
2026-08-17,Carla Souza,PAP,Vendedor,Sim,100%,Aprovada,VEN-00129
2026-08-20,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00130
2026-08-24,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00131
2026-08-27,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00132
2026-08-31,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00133
2026-08-04,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00134
2026-08-07,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00135
2026-08-11,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00136
2026-08-14,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00137
2026-08-19,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00138
2026-08-22,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00139
2026-08-26,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00140
2026-08-29,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00141
2026-08-03,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00142
2026-08-06,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00143
2026-08-10,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00144
2026-08-13,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00145
2026-08-17,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00146
2026-08-21,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00147
2026-08-25,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00148
2026-08-28,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00149
2026-08-01,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00150
2026-08-05,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00151
2026-08-08,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00152
2026-08-12,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00153
2026-08-15,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00154
2026-08-19,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00155
2026-08-24,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00156
2026-08-27,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00157
2026-08-31,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00158
2026-08-04,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00159
2026-08-07,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00160
2026-08-11,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00161
2026-08-14,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00162
2026-08-18,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00163
2026-08-21,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00164
2026-08-26,Carla Souza,PAP,Vendedor,Não,90%,Aprovada,VEN-00165
2026-08-29,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00166
2026-08-03,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00167
2026-08-06,Carla Souza,PAP,Vendedor,Não,100%,Aprovada,VEN-00168
2026-08-17,Canal Website,DIGITAL,Website,Sim,100%,Aprovada,VEN-00169
2026-08-20,Canal Website,DIGITAL,Website,Sim,100%,Aprovada,VEN-00170
2026-08-24,Canal Website,DIGITAL,Website,Sim,100%,Aprovada,VEN-00171
2026-08-27,Canal Website,DIGITAL,Website,Sim,100%,Aprovada,VEN-00172
2026-08-31,Canal Website,DIGITAL,Website,Sim,100%,Aprovada,VEN-00173
2026-08-04,Canal Website,DIGITAL,Website,Sim,100%,Aprovada,VEN-00174
2026-08-07,Canal Website,DIGITAL,Website,Sim,100%,Aprovada,VEN-00175
2026-08-11,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00176
2026-08-14,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00177
2026-08-19,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00178
2026-08-22,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00179
2026-08-26,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00180
2026-08-29,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00181
2026-08-03,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00182
2026-08-06,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00183
2026-08-10,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00184
2026-08-13,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00185
2026-08-17,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00186
2026-08-21,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00187
2026-08-25,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00188
2026-08-28,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00189
2026-08-01,Canal Website,DIGITAL,Website,Não,100%,Aprovada,VEN-00190
2026-08-13,Equipe ADM,ADM,ADM,Sim,100%,Aprovada,VEN-00191
2026-08-17,Equipe ADM,ADM,ADM,Sim,100%,Aprovada,VEN-00192
2026-08-20,Equipe ADM,ADM,ADM,Sim,100%,Aprovada,VEN-00193
2026-08-24,Equipe ADM,ADM,ADM,Sim,100%,Aprovada,VEN-00194
2026-08-27,Equipe ADM,ADM,ADM,Sim,100%,Aprovada,VEN-00195
2026-08-31,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00196
2026-08-04,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00197
2026-08-07,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00198
2026-08-11,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00199
2026-08-15,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00200
2026-08-19,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00201
2026-08-22,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00202
2026-08-26,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00203
2026-08-29,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00204
2026-08-03,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00205
2026-08-06,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00206
2026-08-10,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00207
2026-08-13,Equipe ADM,ADM,ADM,Não,100%,Aprovada,VEN-00208
2026-08-15,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00209
2026-08-19,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00210
2026-08-22,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00211
2026-08-26,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00212
2026-08-29,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00213
2026-08-03,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00214
2026-08-06,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00215
2026-08-10,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00216
2026-08-13,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00217
2026-08-18,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00218
2026-08-21,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00219
2026-08-25,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00220
2026-08-28,Diego Freela,PAP,Freelance,Sim,100%,Aprovada,VEN-00221
2026-08-01,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00222
2026-08-05,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00223
2026-08-08,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00224
2026-08-12,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00225
2026-08-15,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00226
2026-08-20,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00227
2026-08-24,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00228
2026-08-27,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00229
2026-08-31,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00230
2026-08-04,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00231
2026-08-07,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00232
2026-08-11,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00233
2026-08-14,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00234
2026-08-18,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00235
2026-08-22,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00236
2026-08-26,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00237
2026-08-29,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00238
2026-08-03,Diego Freela,PAP,Freelance,Não,100%,Aprovada,VEN-00239
2026-08-10,Ana Silva,CLIN,Vendedor,Sim,100%,Cancelada,VEN-00240
2026-08-12,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00001
